"resource_name,category,description,keywords,website,contact,eligibility",,,,
"Tutoring Center,Academic Support,""UConn Stamford Tutoring houses the Writing Center and Q Course Center. Tutoring services include Writing, Chemistry, Physics, Math, Statistics, Psychology, Computer Science & Engineering, Accounting, Finance, Biology courses, and more. There are also virtual options for some subjects. Tutoring is free to all students. .Location: Room 260. Hours: Monday - Thursday 10:00am - 6:00pm, Friday 10:00am - 2:00pm. Contact: StamfordCASE@UConn.edu. Tutoring is free to all students. Academic Consultations",,,,
"Looking for one-on-one support? Meet with a Peer Leader to get personalized strategies for success. We’ll help you create a personalized action plan around time management, study techniques, goal setting, and more. Perfect for students seeking to better understand how to succeed at UConn Stamford and utilize all the resources available to them.",,,,
,,,,
Hours: Walk-in (no appointment needed),,,,
,,,,
Monday 10:00 AM - 12:00 PM,,,,
Tuesday 11:00 AM - 12:00 PM,,,,
"Thursday 10:00 AM - 12:00 PM"",""tutoring, tutor, failing, failed, exam, test, quiz, homework, math, statistics, stats, writing, essay, biology, chemistry, physics, struggling, pyschology, computer science, engineering, CS, finance, accounting,  confused, grade, help, study, midterm, final, calculus, algebra"",https://academicadvising.stamford.uconn.edu/the-source/,pedro.mendez_santos@uconn.edu,All UConn Stamford students",,,,
"Academic Advising,Academic Support,""Professional academic advisors help students plan their course schedule, choose a major, stay on track for graduation, and navigate academic challenges. Offers in-person and virtual appointments."",""advisor, advising, major, minor, schedule, classes, credits, graduation, transfer, undecided, withdraw, drop, add, course, plan, degree, requirement, GPA, academic probation, behind, lost, confused, change major"",https://academicadvising.stamford.uconn.edu/,studentservices@stamford.uconn.edu,All UConn Stamford students",,,,
"Mental Health & Counseling Services,Mental Health,""Free and confidential mental health support including individual assessments, crisis intervention, brief therapy, wellness workshops, and referrals to community providers. Walk-in hours available. Telehealth available."",""stressed, stress, anxiety, anxious, depressed, depression, overwhelmed, mental health, counseling, therapy, therapist, crisis, panic, panic attack, sad, lonely, burnout, crying, struggling, emotional, hopeless, worried, fear, nervous breakdown, grief, loss, trauma, suicidal, self harm, unhappy, exhausted mentally",""",http",s://stude,ntheal,"th.uconn.edu/regional-campuses/,stamfordmhrc@uconn.edu,All UConn Stamford students"
"Student Health & Wellness,Health & Wellness,""A nurse navigator is available to guide students with acute or chronic healthcare needs, provide referrals to medical services, and offer health education and support. Free 24/7 advice nurse line available."",""sick, illness, injury, health, nurse, doctor, medical, physical, pain, headache, prescription, medication, chronic, insurance, healthcare, feeling unwell, hurt, cold, flu, health concern, eating, nutrition, sleep, fatigue, tired"",https://studenthealth.uconn.edu/regional-campuses/,860-486-4700,All UConn Stamford students",,,,
"Center for Career Readiness & Life Skills,Career Development,""Career coaches support students at every stage of career development â€” exploring interests, writing resumes and cover letters, preparing for interviews, finding internships, and connecting with employers. In-person and virtual appointments."",""job, internship, resume, cover letter, interview, career, work, employer, networking, LinkedIn, hire, hired, part time, full time, post grad, job search, career fair, major, undecided, professional, skill, experience, co-op"",https://career.uconn.edu/stamford/,careercenterstamfor",d@ucon,"n.edu,All",UConn,Stamford students
"Financial Aid Office,Financial Support,""Helps students navigate scholarships, grants, loans, and financial aid packages. Assists with FAFSA questions, billing disputes, and emergency funding options."",""financial aid, FAFSA, money, broke, afford, scholarship, grant, loan, tuition, bill, billing, payment, debt, cost, expensive, financial hardship, emergency fund, stipend, refund, fees, waiver"",https://stamford.uconn.edu/admissions/tuition-aid/,financialaid@stamford.uconn.edu,All UConn Stamford students",,,,
"Bursar's Office,Financial Support,""The Bursar's Office manages student fee bills, payment plans, and financial transactions related to tuition. Contact them for billing questions, payment deadlines, and account holds."",""bursar, bill, billing, tuition, payment, fee, account hold, balance, pay, refund, payment plan, late fee, financial transaction, installment"",https://stamford.uconn.edu/bursar/,bursar@uconn.edu,All UConn Stamford students",,,,
"Center for Students with Disabilities (CSD),Accessibility & Disability,""Provides academic accommodations on an individualized basis for students with documented disabilities including learning disabilities, ADHD, physical disabilities, mental health conditions, and chronic illness. Students must register and request accommodations."",""disability, disabled, accommodation, ADHD, ADD, dyslexia, anxiety disorder, depression, physical disability, learning disability, deaf, blind, chronic illness, extra time, testing accommodation, accessibility, wheelchair, hearing, vision"",https://csd",.uconn,".edu/,csd",@uconn,".edu,UConn students with documented disabilities"
"Office of Student Services,Student Support,""Provides general student support including final exam rescheduling, incomplete extensions, help with leaving or returning to UConn, campus change appeals, and Title IX referrals. First stop for students facing unusual academic situations."",""withdraw, withdrawal, leave, taking a break, incomplete, extension, failing, academic issue, campus transfer, Title IX, harassment, discrimination, drop out, stop out, return, re-enroll, exam conflict, personal crisis"",https://studentservices.stamford.uconn.edu/,studentservices@stamford.uconn.edu,All",UConn,Stamford,stude,nts
"Center for Academic Programs (CAP),Academic Support,""Advances educational equity for first-generation college students, low-income students, and underserved populations. Offers academic support, mentoring, tutoring, and enrichment programs to support retention and graduation."",""first generation, first gen, low income, underserved, minority, first in family, college, support, mentor, equity, retention, graduation, underprivileged, struggling, access"",https://cap.uconn.edu/,cap@uconn.edu,""First-generation, low-income, and underserved UConn students""",,,,
"International Student & Scholar Services (ISSS),International Students,""Supports international students with visa and immigration advising, cultural adjustment, academic integration, and professional development. Offers guidance on OPT, CPT, and maintaining legal student status."",""international, visa, F-1, OPT, CPT, immigration, international student, work authorization, status, culture shock, foreign, study in USA, language barrier, English, passport, I-20, SEVIS"",https://isss.uconn.edu/,isss@uconn.edu,International students and scholars at UConn",,,,
"UConn Stamford Library,Academic Resources,""The Stamford campus library provides access to research databases, books, journals, study spaces, and research help. Librarians can assist with citations, finding sources, and academic research skills."",""library, research, sources, database, article, book, citation, APA, MLA, bibliography, study space, journal, reference, academic writing, paper, project, research help, Google Scholar"",https://lib.uconn.edu/location/stamford-campus-library/,library@uconn.edu,All UConn Stamford students",,,,
